Mon. Aug. 24, 2020             LANDSAT 5                 Time: 21:49
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 021 / 040

L0R Reference Image: L51GNC1010129160100_HDF.202250838
Acquisition Date: May 09, 2010

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
021   039   10-15-2001, 01-31-2015
021   040   10-15-2001, 11-15-2015
022   039   09-17-2000, 11-22-2015
022   040   10-01-1999, 02-07-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0210400508_01   29.239672  -89.318577   -24.000       3.671     0.558     3.513     1.205
0210400510_01   29.121143  -89.188920   -21.000       2.331    -5.490     3.276    -4.986
0210400511_01   29.179937  -89.151915   -22.000      -1.414    -2.378    -0.966    -2.593
0210400512_01   29.439072  -89.642467   -23.527       1.100     0.547     0.985     0.735
0210400514_01   29.643679  -89.615847   -19.264      -3.335     0.540    -3.380    -0.064
0210400517_01   29.521423  -89.584888   -26.614      -3.268     2.862    -3.729     2.234
0210400518_01   29.075238  -89.198430   -22.000      -2.059     1.703    -2.331     1.308
0210400520_01   29.456249  -89.553536   -21.813      -0.286     2.029    -0.645     1.946
0210400524_01   29.359090  -89.596223   -25.865      -3.539     1.304    -3.717     0.652
0210400528_01   29.499869  -89.675263   -19.365      -1.818     0.288    -1.841    -0.041
0210400529_01   29.285739  -89.187467   -23.000       0.217    -1.654     0.509    -1.589
0210400530_01   29.243756  -89.155702   -23.000      -1.335     3.178    -1.882     2.890
0210400532_01   29.713960  -89.632856   -18.398       1.278    -0.489     1.345    -0.253
0210400534_01   29.139397  -89.197941   -24.000      -3.654    -3.884    -2.902    -4.475
0210400536_01   29.729677  -89.672331   -18.718       0.728     1.230     0.496     1.341
0210400537_01   29.032864  -89.156882   -24.000       1.668     3.590     1.000     3.831
0210400542_01   29.334455  -89.595930   -23.361      -0.204     3.666    -0.856     3.572
0210400545_01   29.454669  -89.578838   -20.301      -2.434     0.979    -2.571     0.529
0210400547_01   29.209593  -89.366954   -23.000       2.531     5.274     1.548     5.643
0210400548_01   29.577829  -89.713851   -18.289       1.718    -1.694     1.994    -1.361
0210400551_01   29.344415  -89.349971   -21.000       3.792     1.192     3.519     1.850
0210400552_01   29.741609  -89.356989   -29.410       0.891    -3.465     1.496    -3.252
0210400554_01   29.329667  -89.646120   -22.373      -6.679     4.663    -7.409     3.398
0210400557_01   29.398888  -89.783576   -23.888      -0.856     1.001    -1.022     0.833
0210400559_01   29.393336  -89.697509   -20.328      -5.481     1.814    -5.720     0.807
0210400560_01   29.385865  -89.538189   -22.483       5.451     2.015     5.005     2.957
0210400563_01   29.252809  -89.214556   -25.000       1.213    -5.197     2.123    -4.898
0210400564_01   29.238222  -89.339525   -21.000       0.978     0.672     0.842     0.837
